,City,Pop
553,ROLAND,1295
554,ROLFE,568
555,ROWLEY,267
556,ROYAL,430
557,RUDD,364
558,RUNNELLS,513
559,RUSSELL,538
560,RUTHVEN,701
561,RYAN,358
562,SABULA,556
563,SAC CITY,2143
564,SALEM,378
565,SALIX,372
566,SANBORN,1372
567,SAYLORVILLE,3301
568,SCHALLER,746
569,SCHLESWIG,888
570,SCRANTON,543
571,SERGEANT BLUFF,4417
572,SEYMOUR,700
573,SHEFFIELD,1162
574,SHELBY,620
575,SHELDAHL,319
576,SHELDON,5106
577,SHELL ROCK,1328
578,SHELLSBURG,964
579,SHENANDOAH,5032
580,SHUEYVILLE,674
581,SIBLEY,2692
582,SIDNEY,1062
583,SIGOURNEY,2017
584,SILVER CITY,242
585,SIOUX CENTER,7389
586,SIOUX CITY,82517
587,SIOUX RAPIDS,784
588,SLATER,1506
589,SLOAN,975
590,SMITHLAND,224
591,SOLON,2396
592,SOUTH ENGLISH,208
593,SPENCER,11206
594,SPILLVILLE,353
595,SPIRIT LAKE,4945
596,SPRINGVILLE,1123
597,ST. ANSGAR,1146
598,ST. CHARLES,629
599,STACYVILLE,477
600,STANHOPE,409
601,STANTON,656
602,STANWOOD,667
603,STATE CENTER,1471
604,STEAMBOAT ROCK,308
605,STOCKPORT,296
606,STORM LAKE,10895
607,STORY CITY,3431
608,STOUT,222
609,STRATFORD,720
610,STRAWBERRY POINT,1243
611,STUART,1615
612,SULLY,823
613,SUMNER,2021
614,SUTHERLAND,625
615,SWEA CITY,526
616,SWISHER,932
617,TABOR,985
618,TAMA,2830
619,TEMPLETON,345
620,TERRIL,363
621,THOMPSON,488
622,THORNTON,410
623,THURMAN,217
624,TIFFIN,2444
625,TIPTON,3202
626,TITONKA,459
627,TOLEDO,2250
628,TRAER,1665
629,TREYNOR,940
630,TRIPOLI,1332
631,TRURO,477
632,TWIN LAKES,334
633,UNDERWOOD,938
634,UNION,387
635,UNIVERSITY HEIGHTS,1125
636,UNIVERSITY PARK,484
637,URBANA,1452
638,URBANDALE,43150
639,UTE,355
640,VAIL,430
641,VAN HORNE,667
642,VAN METER,1133
643,VAN WERT,215
644,VENTURA,721
645,VICTOR,889
646,VILLISCA,1211
647,VINTON,5159
648,VOLGA,206
649,WADENA,254
650,WAHPETON,343
651,WALCOTT,1630
652,WALFORD,1459
653,WALKER,792
654,WALL LAKE,803
655,WALNUT,773
656,WAPELLO,2037
657,WASHBURN,876
658,WASHINGTON,7349
659,WASHTA,242
660,WATERLOO,68364
661,WAUCOMA,259
662,WAUKEE,17705
663,WAUKON,3795
664,WAVERLY,10106
665,WAYLAND,977
666,WEBSTER CITY,7788
667,WELLMAN,1426
668,WELLSBURG,696
669,WESLEY,382
670,WEST BEND,762
671,WEST BRANCH,2349
672,WEST BURLINGTON,3051
673,WEST DES MOINES,63325
674,WEST LIBERTY,3733
675,WEST OKOBOJI,293
676,WEST POINT,960
677,WEST UNION,2433
678,WESTGATE,205
679,WESTSIDE,302
680,WHAT CHEER,627
681,WHEATLAND,740
682,WHITING,746
683,WHITTEMORE,492
684,WILLIAMSBURG,3175
685,WILLIAMS,333
686,WILTON,2795
687,WINDSOR HEIGHTS,4875
688,WINFIELD,1149
689,WINTERSET,5141
690,WINTHROP,851
691,WODEN,223
692,WOODBINE,1424
693,WOODWARD,1512
694,WORTHINGTON,411
695,WYOMING,514
696,YALE,245
697,ZEARING,536
